seed,matched_corr_c4,matched_corr_c5,matched_corr_c6,matched_corr_mean,matched_corr_min,MICA_fold_matched,HLA-B_fold_matched,MICA_recovered,HLA-B_recovered,recon_err
1,0.9992164373397827,0.9688123464584351,0.9915759563446045,0.8371105194091797,0.33972442150115967,5.729846746835276,3.063738629353005,True,True,1008.124755859375
2,0.9996840357780457,0.9720920920372009,0.993739902973175,0.8442214727401733,-0.04606157913804054,5.598342067399712,3.0917606290117217,True,True,1006.2013549804688
3,0.9992144703865051,0.9688855409622192,0.9915803670883179,0.8371790647506714,0.3399384319782257,5.729846746835276,3.063738629353005,True,True,1008.124755859375
4,0.9957135319709778,0.9736464619636536,0.9967618584632874,0.8358200192451477,0.22557777166366577,2.667666354264292,3.194507961093682,False,True,1011.9518432617188
5,0.9994521737098694,0.9751708507537842,0.992900013923645,0.8994601964950562,0.35256320238113403,5.579555684623203,2.9796726303768555,True,True,1003.3731689453125
6,0.9994173049926758,0.9751473069190979,0.9929270148277283,0.8994437456130981,0.3524457812309265,5.579555684623203,2.9796726303768555,True,True,1003.3736572265625
7,0.9992431998252869,0.9687236547470093,0.9915776252746582,0.8372169733047485,0.34021684527397156,5.729846746835276,3.063738629353005,True,True,1008.1248779296875
8,0.9996770620346069,0.9721214175224304,0.9937595725059509,0.8442298769950867,-0.04606446251273155,5.598342067399712,3.0917606290117217,True,True,1006.2015380859375
9,0.9978961944580078,0.8923295736312866,0.9970158934593201,0.7898830771446228,0.4298170506954193,0.0,2.8675846317419893,False,True,1013.4807739257812
10,0.9992349743843079,0.968887984752655,0.9916009306907654,0.8372588753700256,0.34017735719680786,5.729846746835276,3.063738629353005,True,True,1008.12548828125
11,0.999237596988678,0.9688851833343506,0.9915931224822998,0.8371647596359253,0.3398539423942566,5.729846746835276,3.063738629353005,True,True,1008.1246337890625
12,0.9953564405441284,0.9714692831039429,0.9967844486236572,0.8279925584793091,0.20826713740825653,2.5925208231582557,3.1851672945407765,False,True,1012.2188110351562
13,0.9997014999389648,0.9721388220787048,0.9937593340873718,0.8442444801330566,-0.04602193087339401,5.598342067399712,3.0917606290117217,True,True,1006.2019653320312
14,0.9994262456893921,0.9751521944999695,0.9929147958755493,0.8994518518447876,0.3525508940219879,5.579555684623203,2.9796726303768555,True,True,1003.373291015625
15,0.9992199540138245,0.9687688946723938,0.9915953278541565,0.8371430039405823,0.3398813307285309,5.729846746835276,3.063738629353005,True,True,1008.12451171875
16,0.9977669715881348,0.9793493151664734,0.9939578771591187,0.8931847810745239,0.3295014500617981,5.354119091305094,3.0357166296942886,True,True,1004.7002563476562
17,0.9994327425956726,0.9751713275909424,0.9928655624389648,0.899444580078125,0.35251089930534363,5.579555684623203,2.9796726303768555,True,True,1003.372802734375
18,0.9985834360122681,0.9627583026885986,0.9955255389213562,0.8844019174575806,0.19211772084236145,5.617128450176221,3.0917606290117217,True,True,1012.4900512695312
19,0.999674916267395,0.9721707105636597,0.9937403798103333,0.8442589044570923,-0.045993462204933167,5.598342067399712,3.0917606290117217,True,True,1006.2023315429688
20,0.9996846318244934,0.9721314907073975,0.9937373399734497,0.8442353010177612,-0.04605431854724884,5.598342067399712,3.0917606290117217,True,True,1006.2017822265625
21,0.9996711611747742,0.9721016883850098,0.9937552809715271,0.8442261815071106,-0.04604591801762581,5.598342067399712,3.0917606290117217,True,True,1006.2019653320312
22,0.9996959567070007,0.9721497893333435,0.9937596321105957,0.8442407846450806,-0.04604904353618622,5.598342067399712,3.0917606290117217,True,True,1006.2014770507812
23,0.9994364380836487,0.9751695394515991,0.9928798079490662,0.8994495868682861,0.35259905457496643,5.579555684623203,2.9796726303768555,True,True,1003.3719482421875
24,0.9994199275970459,0.9751706719398499,0.9928621053695679,0.8994401097297668,0.352544367313385,5.579555684623203,2.9796726303768555,True,True,1003.3721923828125
25,0.9994468092918396,0.9751525521278381,0.9929105043411255,0.8994424939155579,0.35245415568351746,5.579555684623203,2.9796726303768555,True,True,1003.373291015625
26,0.999670147895813,0.9721022248268127,0.993768036365509,0.8442248106002808,-0.04606246575713158,5.598342067399712,3.0917606290117217,True,True,1006.2009887695312
27,0.9994365572929382,0.9751717448234558,0.9928885102272034,0.8994448184967041,0.3524957597255707,5.579555684623203,2.9796726303768555,True,True,1003.3728637695312
28,0.9992398023605347,0.9689009189605713,0.9916034936904907,0.8372048139572144,0.34000787138938904,5.729846746835276,3.063738629353005,True,True,1008.1254272460938
29,0.999226450920105,0.9687559604644775,0.9916059970855713,0.8371764421463013,0.3399806022644043,5.729846746835276,3.063738629353005,True,True,1008.124267578125
30,0.9996788501739502,0.9720991849899292,0.9937626123428345,0.8442307710647583,-0.04605673626065254,5.598342067399712,3.0917606290117217,True,True,1006.2010498046875
31,0.9994428753852844,0.9751611948013306,0.992914617061615,0.8994529843330383,0.35255488753318787,5.579555684623203,2.9796726303768555,True,True,1003.3729248046875
32,0.999455988407135,0.9751556515693665,0.9928948879241943,0.8994438648223877,0.352461040019989,5.579555684623203,2.9796726303768555,True,True,1003.373291015625
33,0.9996851682662964,0.972095787525177,0.9937528967857361,0.8442327380180359,-0.04604239761829376,5.598342067399712,3.0917606290117217,True,True,1006.20068359375
34,0.9994482398033142,0.9751308560371399,0.9929136037826538,0.8994439840316772,0.35245808959007263,5.579555684623203,2.9796726303768555,True,True,1003.3729858398438
35,0.9996969699859619,0.9721174836158752,0.9937400817871094,0.8442399501800537,-0.04604940861463547,5.598342067399712,3.0917606290117217,True,True,1006.20166015625
36,0.9992112517356873,0.9688156843185425,0.9915627837181091,0.8371188044548035,0.3397541642189026,5.729846746835276,3.063738629353005,True,True,1008.1256103515625
37,0.9994498491287231,0.9751502275466919,0.9928959608078003,0.8994448184967041,0.3524874746799469,5.579555684623203,2.9796726303768555,True,True,1003.3724975585938
38,0.9850804805755615,0.5747889876365662,0.9963732361793518,0.8032572269439697,0.042170681059360504,5.673487598505749,3.138463961776249,True,True,1014.7915649414062
39,0.9992356896400452,0.9689012765884399,0.9916120171546936,0.8372531533241272,0.34015870094299316,5.729846746835276,3.063738629353005,True,True,1008.1258544921875
40,0.9996731281280518,0.9721388816833496,0.9937486052513123,0.8442432284355164,-0.04602786526083946,5.598342067399712,3.0917606290117217,True,True,1006.2019653320312
41,0.9992186427116394,0.9688606858253479,0.9915881752967834,0.837130606174469,0.33973753452301025,5.729846746835276,3.063738629353005,True,True,1008.1240234375
42,0.9996779561042786,0.9721205830574036,0.9937463402748108,0.8442270755767822,-0.0460568442940712,5.598342067399712,3.0917606290117217,True,True,1006.201171875
43,0.9999846816062927,1.0000001192092896,0.9999827742576599,0.9999978542327881,0.9999818205833435,5.560769301846694,3.063738629353005,True,True,1014.8245239257812
44,0.9985398054122925,0.9628280401229858,0.995447039604187,0.8844097852706909,0.1918509602546692,5.617128450176221,3.0917606290117217,True,True,1012.4879760742188
45,0.9994455575942993,0.975165843963623,0.9928756356239319,0.8994370698928833,0.35248464345932007,5.579555684623203,2.9796726303768555,True,True,1003.3728637695312
46,0.9994272589683533,0.9751783013343811,0.9928095936775208,0.8994571566581726,0.35272854566574097,5.579555684623203,2.9796726303768555,True,True,1003.3719482421875
47,0.99942946434021,0.975158154964447,0.9928414821624756,0.8994406461715698,0.3525424003601074,5.579555684623203,2.9796726303768555,True,True,1003.372314453125
48,0.9996837377548218,0.9721286296844482,0.9937747716903687,0.8442419171333313,-0.04603581875562668,5.598342067399712,3.0917606290117217,True,True,1006.201171875
49,0.22328943014144897,0.9656031131744385,0.9926027655601501,0.7831553816795349,0.22328943014144897,5.955283340153385,2.989013296929761,True,True,1017.0026245117188
