component,mean_corr,min_corr,std_corr
c0,0.905154903324283,0.6463217735290527,0.14377277599280455
c1,0.2313414041181,-0.04606446251273155,0.20785955986564192
c2,0.9850900088037763,0.7190691828727722,0.05336512160607337
c3,0.9218926247285337,0.8174835443496704,0.06932013628525423
c4,0.9830782060720482,0.22328943014144897,0.10968759978525845
c5,0.9627976843288967,0.5747889876365662,0.057372071058388756
c6,0.9934242063639115,0.9915627837181091,0.0016865014604572667
c7,0.9106177018613232,0.5201351642608643,0.06465739125926961
