test_set,NMF_c5_x,NMF_c5_K,NMF_c5_n,NMF_c5_fold,NMF_c5_p,LDA_c5_x,LDA_c5_K,LDA_c5_n,LDA_c5_fold,LDA_c5_p
eQTL_MICA,0,1067,355,0.0,1.0,0,1067,355,0.0,1.0
eQTL_MICB,131,1116,355,2.3529607754051187,8.452834877456361e-24,111,1116,355,1.993730122671513,3.343961880610798e-14
eQTL_HLA-B,229,2146,355,2.1390126406153604,7.915406134403425e-43,71,2146,355,0.6631873252562908,0.9999965410751512
eQTL_HLA-C,296,2385,355,2.4877739392328815,3.981069716141212e-88,205,2385,355,1.7229515457525024,7.066776448917395e-22
eQTL_HCG27,200,2661,355,1.5065817679470284,8.526990980133066e-14,146,2661,355,1.0998046906013308,0.07626652012086092
C_flip,310,4909,355,1.2658325180252425,1.2157987765606653e-16,341,4909,355,1.3924157698277668,1.6494963951046673e-39
