analysis,outcome,n,beta_c5,se_c5,p_c5,ci_lo_95,ci_hi_95,r2
Primary (n=117),log2_HLA-C,117,-0.19260337156549895,0.05394511069993888,0.0005335994287814308,-0.2995319395463056,-0.0856748035846923,0.744166838664268
S1: whitespace-trim (n=120),log2_HLA-C,120,-0.18543106004911047,0.05321225571503977,0.0007062845141785647,-0.29087469704066987,-0.07998742305755106,0.7428736853152317
S2: S1 + HBV+HCV→HCV (n=122),log2_HLA-C,122,-0.1872610644782199,0.05257660525698678,0.0005406161060587141,-0.2914248021759524,-0.08309732678048741,0.7413939995676262
S3: c5 × viral interaction (HCV term),log2_HLA-C,117,0.18414304392945882,0.1554565625126625,0.23885228070630907,-0.12406471122304044,0.4923507990819581,0.7519252686288502
S3: c5 × viral interaction (NBNC term),log2_HLA-C,117,-0.05195248461173977,0.18894232768309221,0.7838785286294445,-0.42654902609740686,0.3226440568739273,0.7519252686288502
