component,test_set,n_top,obs_overlap,matched_mean,matched_sd,fold_vs_matched,z_score,empirical_p,empirical_p_reported
0,r_flip,355,191,170.9561,8.358299635093253,1.1172458894417925,2.3980834470020023,0.0091,0.0091
0,C_flip,355,205,236.0919,8.140150759660413,0.868305943575362,-3.819572992932761,1.0,1.0000
0,class_flip,355,4,14.9748,3.1917965098044707,0.2671154205732297,-3.438439752123269,1.0,1.0000
0,MICA,355,1,17.6804,3.1841570061791864,0.0565598063392231,-5.238560776880648,1.0,1.0000
0,MICB,355,7,36.5908,5.165477263525607,0.1913049181761535,-5.728570370243642,1.0,1.0000
0,HLA-B,355,55,118.4893,8.125471402324914,0.4641769341197897,-7.813614356187879,1.0,1.0000
0,HLA-C,355,97,70.3533,6.080055847605349,1.3787555096917985,4.38264066447595,0.0001,0.0001
1,r_flip,355,239,225.6966,8.01032761127783,1.0589437324266295,1.660781012410779,0.055,0.0550
1,C_flip,355,250,239.7924,8.023447029799598,1.0425684884091406,1.2722212737353822,0.1102,0.1102
1,class_flip,355,1,36.2961,4.773806111479602,0.0275511694093855,-7.393702043139801,1.0,1.0000
1,MICA,355,3,25.1887,3.746317166231391,0.1191010254598292,-5.922803386751349,1.0,1.0000
1,MICB,355,171,86.9687,7.207587690066629,1.9662246302405348,11.658727387501711,0.0,<1e-04
1,HLA-B,355,319,109.788,7.626129817935176,2.905599883411666,27.43357443351856,0.0,<1e-04
1,HLA-C,355,211,161.732,8.088212163389386,1.3046274083050973,6.091333783627421,0.0,<1e-04
2,r_flip,355,99,106.7265,6.796521003425208,0.9276046717544376,-1.1368316225471995,0.8883,0.8883
2,C_flip,355,186,172.006,7.130214863522697,1.081357627059521,1.9626337028904397,0.0291,0.0291
2,class_flip,355,83,67.3557,5.754092240310368,1.2322639360885568,2.718812863374635,0.0041,0.0041
2,MICA,355,133,97.1076,6.460620886571197,1.369614736642652,5.555565112109361,0.0,<1e-04
2,MICB,355,24,30.0123,4.4995942828215085,0.7996721344248858,-1.336187136461098,0.9325,0.9325
2,HLA-B,355,18,70.1093,6.2374156114531925,0.2567419728909003,-8.354309420125299,1.0,1.0000
2,HLA-C,355,97,101.3665,6.899375170984689,0.9569236384801684,-0.6328833976681412,0.7626,0.7626
3,r_flip,355,269,183.4192,7.890720585599265,1.4665858317995064,10.845752180882798,0.0,<1e-04
3,C_flip,355,306,248.5232,7.915292904245553,1.231273378099107,7.261487438976638,0.0,<1e-04
